,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
37,117.80834468666669,27.75625057,10.620773848666667,0.9283908969606668,4.134922548133334,5.744248797866665,13.772989350666665,4.687519182733333,1.5949606023133334,42.00742847133333,-8.300047047333333,0,0,0,0,0,0,1,0,0,0,0,0,7.4160753333333345,7.797635333333332,8.040560000000001
38,61.14525330437499,52.506974393125,2.0653735949187504,2.2534940344375,9.520149531749999,3.9953135939375,16.211200280000003,2.719147747375,0.78550806691375,39.96893350000001,-0.6888608934000001,0,0,0,0,0,0,0,0,0,1,0,0,5.322698749999999,6.1996125000000015,6.950231875
39,112.11301397619049,19.990486255,2.6785756500523807,1.0707997824666664,2.5729851954738105,16.917119215000007,24.78872534357143,2.0761169901547616,6.436118559595236,41.550625456190474,-7.540144968309522,0,0,0,0,0,0,1,0,0,0,0,0,5.855105476190476,6.494544047619046,7.2236071428571424
40,89.32213820636366,16.079389531818183,4.784704949090909,0.6125438483909091,5.5618580836363645,10.433890196272726,5.2448871487272735,2.5760559901818185,0.4636521129481818,41.64605438363636,-8.046861692,0,0,0,0,0,0,1,0,0,0,0,0,7.9359863636363634,8.28102909090909,8.625461818181817
41,135.59059478292684,38.91478380780487,8.267992048512193,21.088969471463415,3.8759535869756103,40.986086336341465,53.4194068890244,12.157645403658535,6.79269119912195,42.23578748292681,-4.154245447170731,0,0,0,0,0,0,0,0,0,1,0,0,5.3364636585365846,6.425488536585365,7.4079721951219515
42,28.93177909111111,41.70841997444445,2.210000026888889,5.904275260888888,2.5717369173333338,11.341539274444445,20.036586481111108,0.8331298045555555,19.48549004777778,39.133344756666666,-9.131097883333332,0,0,0,0,0,0,1,0,0,0,0,0,6.039460000000001,6.8711166666666665,7.0817299999999985
43,85.44199922363636,10.958741388181817,5.742481903363637,0.5318757820636364,6.876616967818182,7.499055940636363,6.022004427727272,3.1002895756363635,11.868293779090912,41.40724719818182,-7.796522961818181,0,0,0,0,0,0,1,0,0,0,0,0,6.862302727272727,7.595274545454546,8.096286363636365
44,55.80609351866667,46.77605838999999,4.249270698366667,2.7842480674,9.225378701866669,8.6926817601,11.940332540333335,3.109398771133333,1.0777289711533335,39.99996809766665,-0.6275652477999999,0,0,0,0,0,0,0,0,0,1,0,0,6.293889666666668,6.877588666666666,7.305643666666667
46,126.38990676666668,43.95096375666667,0.5562139192666666,3.3141407616666663,4.609428271333334,19.333356656666666,5.113088834666667,2.2745086123333333,1.127309089733333,57.626611503333336,-2.578017903,0,0,0,0,0,0,0,1,0,0,0,0,6.402853333333333,7.81775,9.39165
47,72.77266419521739,14.319220923934779,4.9739202763913015,2.177512001276088,3.88453061626087,8.23424125830435,9.648544380173915,2.714980248826087,9.981465580586956,41.30937138043478,-7.8940120663260895,0,0,0,0,0,0,1,0,0,0,0,0,7.513563695652173,8.002100434782609,8.255929130434783
48,53.70558490528303,67.6289693173585,3.1463574008471684,1.287182401044717,17.33581891056604,14.661944378301893,31.322246194150942,6.353927189660376,3.8745019122716986,-32.87888336075473,26.013257134339625,0,0,0,0,0,0,0,0,1,0,0,0,5.963083584905663,6.789940377358492,7.516380754716982
49,11.522146285185185,7.756691654222221,6.845881234629631,1.1831135098518517,6.179194185555557,11.176609110592587,14.769908230740738,2.1238377284444447,0.551274041331111,40.93011453777777,35.53939665814815,0,0,0,0,0,0,0,0,0,0,0,1,6.667277407407408,6.806192592592591,6.887961481481483
50,41.784114546666665,17.928224291666666,6.841939986500001,3.8675612668333326,2.656786684333333,20.773612473333333,6.1982432554999995,4.143293556333334,3.372239953166668,47.57960207,-2.5404709311666664,0,1,0,0,0,0,0,0,0,0,0,0,5.597553333333334,6.680641666666666,7.551754999999999
51,178.86521532400002,28.40402099893333,7.694822653453331,1.4773011976200003,7.977912270199998,19.077373471600005,17.438158001199998,2.1268903547277342,1.903947176729332,42.5543633068,-8.206126780346668,0,0,0,0,0,0,0,0,0,1,0,0,6.851796133333336,7.329295066666668,7.773731333333335
52,103.91762862,13.786606987999999,2.7925698686,3.1809555056000005,2.4340410381999997,13.4201185,12.984511558,2.6497213046,3.6319565000000003,38.787643694,16.420238924,0,0,0,1,0,0,0,0,0,0,0,0,4.421066000000001,4.441998,4.431144000000001
53,296.45590132794115,26.73184270882353,7.535799444950975,0.769698338705735,9.165854781299023,24.38826470897058,17.87461001465686,1.0114107628786768,1.731874240494902,43.52103649774513,-7.5621982988529375,0,0,0,0,0,0,0,0,0,1,0,0,7.0822139705882465,7.920688333333332,8.705055490196084
54,81.90683514696259,27.860671905723535,8.230907071840964,1.7216396461755992,7.260093542432097,27.498583756418263,4.819110111271946,23.847463005364318,2.0191406388575897,14.750067410256284,77.6001401107266,0,0,1,0,0,0,0,0,0,0,0,0,5.069328143289604,6.439714601412708,6.439714601412708
55,113.63643808,16.34385053425,6.6622038288250005,2.4867375702750003,2.744951358100001,24.149069527250003,5.444052357124998,1.7985071297125004,4.752813997275,40.99162908649999,15.441068964500001,0,0,0,1,0,0,0,0,0,0,0,0,4.111999,4.418143999999999,4.889531499999999
56,171.33610708333333,11.39655303,6.008964479166668,3.0498162868333334,1.8265583555,59.12039730833334,4.5022396701666665,2.587589496,2.4225126,49.70366961333334,3.4243917458333333,0,1,0,0,0,0,0,0,0,0,0,0,5.4349783333333335,6.671073333333332,7.778431666666667
57,304.7228015,10.127490492000002,8.620560212799997,2.2480571294,1.6472867614000002,14.729407594000001,19.628490194,2.3326776172,2.2609345546,49.26890504000001,5.8903732060000005,0,1,0,0,0,0,0,0,0,0,0,0,5.283664,6.42628,7.469098
58,96.05302488307693,13.906948673384615,6.291544573076924,4.8436542668974365,8.608930195564103,7.030490867358974,6.560863175743588,1.9481246586000007,1.2664971939102565,40.56812366641026,15.930203189743589,0,0,0,1,0,0,0,0,0,0,0,0,3.778563333333334,4.009283846153846,4.346965128205127
59,195.08516,15.226057764,6.560699920999999,0.99695426676,5.344408886,2.1819866012,22.397524908,2.5197877753999998,2.3931944206000004,43.59329798,12.374325748,0,0,0,1,0,0,0,0,0,0,0,0,3.040858,3.3488480000000003,3.8078260000000004
60,49.42884972031249,17.2063020134375,5.953231318687498,0.969621782525,4.09018913546875,30.85007543750001,12.58414400125,1.2514662014812503,20.008068954062495,40.97819873156251,-8.056213601312496,0,0,0,0,0,0,1,0,0,0,0,0,7.681022499999999,8.080093125000001,8.2615971875
61,9.830837222750002,65.72923538375,4.0561084878125,6.553975701375,7.8004745395937505,83.61348209593747,39.712120328125,7.2956510482812496,1.3867906751125003,-37.23712458,143.05041243125,1,0,0,0,0,0,0,0,0,0,0,0,6.780897499999999,7.8087615625,8.687400625
62,15.934624734000002,25.817735446,8.8150898878,8.731360582799999,2.50258766,16.937238422,14.861155358,0.6368786067200001,10.901612762000001,38.989898944000004,-9.1549719026,0,0,0,0,0,0,1,0,0,0,0,0,6.2073459999999985,6.9387159999999986,7.16647
63,90.81938965533331,4.2223336314,2.695254871466666,1.4796594086000001,2.5632818360000003,4.935974749600001,1.041411363986667,3.6235649556666663,3.5306973756000004,55.684649644,-4.8117794520666655,0,0,0,0,0,0,0,1,0,0,0,0,7.6623459999999985,8.782744000000001,10.137667999999998
64,236.08787808181825,16.57390030727273,8.15532786290909,2.304186317545455,6.999573480727272,15.132824838181817,2.9487153154545456,6.055612226636362,2.318036513272727,43.42020018545455,2.196795033181818,0,1,0,0,0,0,0,0,0,0,0,0,7.9044181818181825,9.13415090909091,9.820195454545452
65,93.9411039075,11.604503185,8.120848158500001,0.7421634695999999,8.531947998083334,11.274827508333333,10.796179204249999,0.9162184083,1.0136222409416666,41.82319532916667,-8.711524172,0,0,0,0,0,0,1,0,0,0,0,0,6.786911666666667,7.1318425,7.4783333333333335
66,290.8263974216216,29.290530946486484,11.831440421351347,1.2657314561270272,10.706556730729726,32.17005424162163,22.642528673513517,0.982998666862162,1.1473928538235134,43.457175308918906,-7.518592708756759,0,0,0,0,0,0,0,0,0,1,0,0,6.825085405405408,7.801038108108107,8.763076216216218
67,56.22749627135593,20.00487534949152,4.665824313440679,0.8090618199577962,6.706927960847455,2.769427030927118,32.603613083050845,0.9581131953084744,0.6539906366989829,40.47347819338982,-0.2021999893966101,0,0,0,0,0,0,0,0,0,1,0,0,7.268827966101696,7.749791864406777,8.246985084745758
68,113.71332735238093,8.007140855238095,8.392096428634916,8.302214731857145,3.6807560327936506,22.86752590619048,36.3543946936508,8.252941919317463,7.067086681888889,42.407939533809525,-3.7657342733650787,0,0,0,0,0,0,0,0,0,1,0,0,6.165067777777778,7.166568730158732,8.084631904761903
69,236.29182445,16.297188783333336,4.639827163166666,13.217386626666665,2.0967213705,11.497709688333332,14.318438231666667,6.7863749276666665,18.928987645,48.16984046833334,2.5538379083333336,0,1,0,0,0,0,0,0,0,0,0,0,5.3069,6.5945366666666665,7.697328333333334
